zeitstempel,temperatur,temperatur_fahrenheit,taupunkt,luftfeuchte,luftdruck,luefter_aktiv
30.39;86.70;15.79;41;1008;AN
31.49;88.68;15.68;38;1008;AN
31.98;89.56;15.26;36;1008;AN
31.81;89.26;14.59;35;1009;AN
30.99;87.79;13.75;35;1009;AN
29.63;85.33;12.82;35;1010;AN
27.86;82.15;11.91;37;1010;AN
25.89;78.60;11.08;39;1011;AN
23.93;75.07;10.42;42;1011;AUS
22.19;71.95;10.02;45;1012;AUS
20.88;69.59;9.98;49;1012;AUS
20.14;68.25;10.38;53;1013;AUS
20.04;68.08;11.24;56;1014;AUS
20.60;69.09;12.57;60;1014;AUS
21.76;71.17;14.28;62;1015;AUS
23.39;74.10;16.23;64;1015;AUS
25.31;77.55;18.24;64;1016;AN
27.33;81.19;20.12;64;1016;AN
29.18;84.52;21.59;63;1017;AN
30.67;87.20;22.49;61;1017;AN
31.65;88.96;22.68;59;1017;AN
32.00;89.60;22.08;55;1017;AN
31.69;89.04;20.70;52;1017;AN
30.75;87.35;18.64;48;1017;AN
29.29;84.72;16.07;44;1017;AN
27.46;81.43;13.22;41;1017;AN
25.47;77.85;10.39;38;1017;AN
23.54;74.37;7.85;36;1017;AUS
21.88;71.38;5.87;35;1016;AUS
20.68;69.22;4.66;35;1016;AUS
20.06;68.11;4.36;35;1016;AUS
20.11;68.19;4.98;37;1015;AUS
20.80;69.44;6.47;39;1014;AUS
22.07;71.73;8.67;42;1014;AUS
23.77;74.79;11.38;45;1013;AUS
25.72;78.30;14.35;49;1013;AN
27.70;81.87;17.32;53;1012;AN
29.50;85.09;20.01;56;1011;AN
30.90;87.62;22.19;59;1011;AN
31.77;89.18;23.68;62;1010;AN
31.99;89.58;24.35;64;1010;AN
31.55;88.80;24.15;64;1009;AN
30.50;86.90;23.13;64;1009;AN
28.95;84.11;21.41;63;1008;AN
27.08;80.74;19.15;61;1008;AN
25.08;77.15;16.59;59;1008;AN
23.19;73.74;13.96;56;1008;AUS
21.60;70.89;11.47;52;1008;AUS
20.51;68.91;9.35;48;1008;AUS
20.02;68.04;7.75;45;1008;AUS
20.19;68.34;6.77;41;1008;AUS
21.00;69.81;6.47;38;1008;AUS
22.37;72.27;6.86;36;1008;AUS
24.14;75.45;7.88;35;1009;AUS
26.11;79.00;9.45;35;1009;AN
28.07;82.53;11.39;35;1009;AN
29.80;85.65;13.52;36;1010;AN
31.11;88.01;15.60;39;1011;AN
31.86;89.35;17.39;42;1011;AN
31.96;89.53;18.72;45;1012;AN
31.40;88.52;19.46;49;1012;AN
30.24;86.43;19.58;52;1013;AN
28.61;83.50;19.11;56;1014;AN
26.70;80.06;18.19;59;1014;AN
24.70;76.47;16.98;62;1015;AUS
22.85;73.14;15.68;63;1015;AUS
21.35;70.44;14.48;64;1016;AUS
20.37;68.66;13.54;64;1016;AUS
20.00;68.00;12.96;63;1017;AUS
20.30;68.54;12.81;62;1017;AUS
21.23;70.21;13.03;59;1017;AUS
22.69;72.83;13.56;56;1017;AUS
24.51;76.11;14.24;52;1017;AUS
26.50;79.69;14.93;49;1017;AN
28.43;83.18;15.48;45;1017;AN
30.09;86.17;15.77;41;1017;AN
31.31;88.35;15.73;39;1017;AN
31.93;89.48;15.38;36;1017;AN
31.90;89.42;14.75;35;1016;AN
31.22;88.20;13.94;35;1016;AN
29.96;85.93;13.03;35;1016;AN
28.26;82.88;12.10;36;1015;AN
26.32;79.37;11.24;38;1015;AN
24.33;75.80;10.54;41;1014;AUS
22.54;72.57;10.08;45;1013;AUS
21.12;70.02;9.95;48;1013;AUS
20.25;68.44;10.25;52;1012;AUS
20.01;68.01;11.02;56;1011;AUS
20.43;68.77;12.25;59;1011;AUS
21.47;70.64;13.88;62;1010;AUS
23.01;73.41;15.80;63;1010;AUS
24.88;76.78;17.81;64;1009;AUS
26.88;80.38;19.72;64;1009;AN
28.77;83.79;21.29;64;1008;AN
30.37;86.66;22.34;62;1008;AN
31.47;88.65;22.70;59;1008;AN
31.98;89.56;22.29;56;1008;AN
31.82;89.27;21.09;53;1008;AN
31.02;87.83;19.17;49;1008;AN
29.66;85.39;16.70;45;1008;AN
27.90;82.22;13.89;42;1008;AN
25.93;78.68;11.02;39;1008;AN
23.97;75.14;8.39;37;1008;AUS
22.23;72.01;6.26;35;1009;AUS
20.91;69.63;4.86;35;1009;AUS
20.15;68.27;4.35;35;1009;AUS
20.04;68.07;4.76;36;1010;AUS
20.58;69.05;6.06;38;1010;AUS
21.73;71.12;8.11;41;1011;AUS
23.35;74.02;10.72;44;1012;AUS
25.26;77.47;13.65;48;1012;AN
27.25;81.05;16.64;52;1013;AN
29.11;84.39;19.42;55;1014;AN
30.62;87.11;21.74;59;1014;AN
31.62;88.91;23.40;61;1015;AN
32.00;89.60;24.27;63;1015;AN
31.72;89.09;24.27;64;1016;AN
30.80;87.44;23.44;64;1016;AN
29.35;84.84;21.87;64;1017;AN
27.54;81.57;19.72;62;1017;AN
25.55;77.99;17.21;59;1017;AN
23.62;74.51;14.57;56;1017;AUS
21.94;71.50;12.04;53;1017;AUS
20.72;69.29;9.81;49;1017;AUS
20.08;68.14;8.08;45;1017;AUS
20.09;68.16;6.94;42;1017;AUS
20.76;69.37;6.48;39;1017;AUS
22.01;71.62;6.71;37;1017;AUS
23.70;74.65;7.59;35;1017;AUS
25.64;78.16;9.04;35;1016;AN
27.63;81.73;10.92;35;1016;AN
29.43;84.98;13.02;36;1015;AN
30.86;87.54;15.13;38;1015;AN
31.74;89.14;17.01;41;1014;AN
32.00;89.59;18.46;44;1013;AN
31.58;88.85;19.35;48;1013;AN
30.55;87.00;19.60;52;1012;AN
29.02;84.24;19.27;55;1012;AN
27.16;80.88;18.44;58;1011;AN
25.17;77.30;17.28;61;1010;AN
23.27;73.88;15.98;63;1010;AUS
21.66;71.00;14.74;64;1009;AUS
20.54;68.98;13.72;64;1009;AUS
20.03;68.05;13.06;64;1008;AUS
20.17;68.31;12.81;62;1008;AUS
20.96;69.73;12.95;60;1008;AUS
22.30;72.15;13.41;57;1008;AUS
24.06;75.30;14.08;53;1008;AUS
26.03;78.85;14.78;49;1008;AN
27.99;82.39;15.37;46;1008;AN
29.74;85.53;15.73;42;1008;AN
31.07;87.93;15.77;39;1008;AN
31.84;89.31;15.49;37;1008;AN
31.97;89.54;14.92;35;1008;AN
31.43;88.58;14.14;35;1009;AN
30.30;86.54;13.24;35;1009;AN
28.69;83.64;12.31;36;1010;AN
26.78;80.21;11.43;38;1010;AN
24.79;76.62;10.69;41;1011;AUS
22.92;73.26;10.16;44;1012;AUS
21.41;70.53;9.95;48;1012;AUS
20.39;68.71;10.14;51;1013;AUS
20.00;68.00;10.80;55;1013;AUS
20.28;68.50;11.93;58;1014;AUS
21.18;70.13;13.48;61;1015;AUS
